07:52:29.852 [main] INFO  i.g.c.i.i.InvoicingApplication - Starting InvoicingApplication using Java 25.0.2 with PID 19807 (/home/benjamim/projects/studies/java/ms/invoicing/target/classes started by benjamim in /home/benjamim/projects/studies/java/ms/services)
07:52:29.855 [main] INFO  i.g.c.i.i.InvoicingApplication - No active profile set, falling back to 1 default profile: "default"
07:52:30.384 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8083 (http)
07:52:30.396 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
07:52:30.397 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
07:52:30.427 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 544 ms
07:52:31.061 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8083 (http) with context path '/'
07:52:31.126 [main] INFO  i.g.c.i.i.InvoicingApplication - Started InvoicingApplication in 1.636 seconds (process running for 2.006)
08:13:46.132 [SpringApplicationShutdownHook] INFO  o.s.boot.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
08:13:46.134 [tomcat-shutdown] INFO  o.s.boot.tomcat.GracefulShutdown - Graceful shutdown complete
